Regione,Anno,Numero_Transazioni,Prezzo_Medio,Variazione_%_Prezzo,Variazione_%_Transazioni,Spread,Fiducia_durevoli,Residenziale_superficie_Livelli,NonResidenziale_superficie_Livelli,Residenziale_abitazioni_Livelli,Residenziale_abitazioni_Variazione_annuale,Residenziale_superficie_Variazione_annuale,Nuove_iscrizioni_mutui_RES,Indice_Transazioni,Indice_Prezzo,Y_Indice_Mercato,Fiducia_durevoli_t-1,Spread_t-1,Nuove_iscrizioni_mutui_RES_t-1,Y_Predetto_dal_Modello
ITALIA,2018,579207.17,1236.239653,-0.33340808,6.631131619185471,-0.7525,-38.533333335,1414910.25,3422838.75,17621.0,8.8,8.75,73.31043862,37.02442374451508,30.199530008532342,33.61197687652371,-47.3499999975,-0.0641666665,69.8,33.262154142008285
ITALIA,2019,604167.77,1231.146491,-0.411988227,4.309442509145733,-0.265,-46.59166667,1472224.25,3172837.25,17442.0,1.2,1.6,72.01424287,31.70624668123039,26.228767493811365,28.96750708752088,-38.533333335,-0.7525,73.31043862,15.089687454341004
ITALIA,2020,558721.59,1220.489874,-0.865584802,-7.522112607893671,0.15500000000000003,-62.858333332499996,1450619.25,2500953.5,14644.5,-25.125,-23.6,67.66692671,4.604295444808995,3.3079109469812686,3.956103195895132,-46.59166667,-0.265,72.01424287,30.48722092140217
ITALIA,2021,749377.4,1212.5925,-0.647065901,34.123580225349826,0.575,-26.2166666675,1350897.0,2802910.25,16771.5,33.925,31.75,88.47853818,100.0,14.349970474419207,57.174985237209604,-62.858333332499996,0.15500000000000003,67.66692671,46.574863746231074
ITALIA,2022,785382.19,1220.466727,0.649371238,4.804627147816287,-0.84583333325,-71.966666665,1449943.0,2912654.0,17345.5,7.574999999999999,6.975,87.03764713,32.840541353191696,79.86071575507269,56.35062855413219,-26.2166666675,0.575,88.47853818,54.07555898222088
ITALIA,2023,710518.37,1233.256259,1.047921368,-9.532151473921246,-0.08249999999999999,-84.5166666675,1549412.5,3181786.75,18932.0,-11.3,-10.625,63.51056091,0.0,100.0,50.0,-71.966666665,-0.84583333325,87.03764713,50.57171570507818
