Regione,anno,NTN_totale,NTN_fino_a_50_mq,NTN_50_85_mq,NTN_85_115_mq,NTN_115_145_mq,NTN_oltre_145_mq
Molise,2014,2027.7,207.66,644.3,457.41,393.84,324.49
Piemonte,2014,36423.55,3061.43,12252.48,9492.11,5291.36,6326.17
Puglia,2014,24854.6,2976.35,6465.97,7230.67,5053.38,3128.23
Sardegna,2014,9087.15,858.01,3088.75,2076.56,1552.56,1511.27
Sicilia,2014,27507.7,3044.88,6832.8,7184.32,6014.99,4430.71
Toscana,2014,26524.48,1987.04,7945.61,7265.79,4841.04,4485.0
Umbria,2014,5606.91,389.57,1335.64,1469.38,1208.71,1203.61
Valle d'Aosta,2014,1308.43,259.76,550.49,293.0,118.99,86.19
Veneto,2014,33770.59,1792.8,8982.03,9222.43,6450.32,7323.01
Italia,2014,405721.52,36142.990000000005,127554.23,109927.36000000002,69807.43,62289.51
Abruzzo ,2015,8707.41,843.37,2777.88,2163.41,1561.76,1360.99
Basilicata,2015,3161.53,385.75,869.21,896.84,615.25,394.48
Calabria,2015,9509.62,1380.64,2698.51,2199.75,1792.6,1438.12
Campania,2015,27052.42,2741.91,6184.08,7594.7,6036.29,4495.44
Emilia-Romagna,2015,36450.9,2487.4,11271.88,10784.18,5940.63,5966.81
Friuli- Venezia Giulia,2015,6469.68,364.53,1355.87,1569.45,1198.19,1981.64
Lazio,2015,48270.03,4138.18,18177.51,13317.21,7181.93,5455.2
Liguria,2015,15844.04,1988.34,6175.14,4344.3,1978.35,1357.91
Lombardia,2015,90664.93,7561.94,31397.58,25248.17,13566.46,12890.78
Marche,2015,9372.81,629.69,2629.49,2585.02,1918.61,1610.0
Molise,2015,1960.23,216.19,572.95,481.85,340.62,348.62
Piemonte,2015,38601.08,3336.45,12740.95,10054.96,5494.78,6973.94
Puglia,2015,25854.15,3128.18,6528.99,7324.35,5344.96,3527.67
Sardegna,2015,9928.13,918.81,3326.87,2382.67,1717.53,1582.25
Sicilia,2015,29026.3,3283.24,6989.7,7526.8,6402.71,4823.85
Toscana,2015,29707.93,2049.06,8807.92,8275.41,5279.63,5295.91
Umbria,2015,5971.94,366.67,1439.11,1697.44,1198.98,1269.74
Valle d'Aosta,2015,1315.31,278.91,507.46,293.62,130.94,104.38
Veneto,2015,38062.81,2054.93,9782.03,10633.56,7150.68,8441.61
