Anno,Y_Indice_Mercato,Affitto_medio_€/m²,Indice_costi_costruzione,Tasso_default_mutui,Y_Indice_Mercato_t-1,Y_Predetto_dal_Modello,Impatto_Indice_costi_costruzione,Impatto_Tasso_default_mutui,Impatto_Affitto_medio_€/m²,Impatto_Intercetta
2019,44.86030411001114,10.033333333333331,95.7,0.75,47.86674419992265,50.95482455815874,-16.714848206144822,5.546421795771562,12.562711387679515,49.560539580852485
2020,28.817294879740196,10.810833333333337,96.2,0.54,44.86030411001114,35.78139708068973,-15.656946420945781,-0.7837335146198956,2.661537435402923,49.560539580852485
2021,66.56733646230843,11.031666666666666,100.0,0.41,28.817294879740196,37.09055253131599,-7.616892853433079,-4.702401087719372,-0.15069310838403915,49.560539580852485
2022,59.691018252280145,11.289166666666668,111.9,0.5,66.56733646230843,61.702371787543655,17.561169634304093,-1.989477383265889,-3.4298600443470306,49.560539580852485
2023,53.13095997801387,11.934166666666668,114.2,0.63,59.691018252280145,62.273551946554406,22.427517846219676,1.929190189833586,-11.643695670351343,49.560539580852485
